PRODUCT_ID,PRODUCT_NAME,PRODUCT_CATEGORY,COST_PRICE,SELLING_PRICE,SALES_DATA,QUANTITY_SOLD,SEASON,PROFIT_MARGIN,RATING,SPACE_OCCUPIED,NO_OF_DAYS_LEFT
1,SmartFit Fitness Tracker,Electronics,$89.99,$109.99,35,300,Fall,18%,4.1,20,10
2,CozyDreams Pillow,Bedding,$29.99,$39.99,60,800,Winter,25%,4.3,30,25
3,FoodFresh Fridge,Appliances,$799.99,$999.99,10,50,Summer,20%,4.8,200,400
4,AquaSplash Water Bottle,Sports,$12.49,$17.99,80,1500,Spring,30%,4.5,10,30
5,SwiftSlice Vegetable Chopper,Kitchen Tools,$19.99,$24.99,45,600,Fall,20%,4.4,40,15
6,Sparkle Clean Detergent,Household,$8.49,$12.23,50,5000,Winter,30%,4,50,20
7,PowerBrew Coffee Maker,Kitchen Appliances,$54.99,$67.51,20,100,Summer,20%,4.5,150,30
8,FreshGlow Face Cream,Beauty,$16.99,$22.51,70,2000,Spring,25%,4.2,15,8
9,QuickFix Sewing Kit,Crafts,$7.99,$12.99,25,400,Winter,38%,4,5,12
10,PetPals Cat Tree,Pet Supplies,$49.99,$69.99,15,100,Summer,,3.9,200,9
11,SunShield Sunglasses,Fashion Accessories,$19.99,$29.99,50,200,Summer,35%,4.7,5,15
12,EcoGlow LED Light Bulbs,Home Improvement,$8.99,$14.99,40,300,Winter,40%,4.5,10,20
13,PowerUp Power Bank,Electronics,$24.99,$34.99,30,1000,Fall,30%,4.2,3,10
14,SleepWell Mattress Topper,Bedding,$59.99,$89.99,20,50,Spring,50%,4.8,100,5
15,NatureBlend Organic Tea,Grocery,$9.99,$14.99,100,800,Summer,33%,4.6,10,30
16,CleanSweep Broom,Cleaning Supplies,$4.99,$7.99,75,1200,Winter,38%,4.3,20,15
17,Zenith Yoga Mat,Fitness,$29.99,$39.99,45,300,Fall,25%,4.4,8,20
18,CookMaster Cookware Set,Kitchenware,$149.99,$199.99,10,30,Spring,30%,4.7,300,25
19,SparkleLite Jewelry Cleaner,Jewelry,$14.99,$24.99,20,200,Summer,40%,4.9,5,8
20,ComfyCoat Dog Jacket,Pet Supplies,$39.99,$49.99,30,150,Winter,20%,4.2,50,15
21,StyleSense Fashion Scarf,Fashion Accessories,$14.99,$24.99,40,300,Fall,40%,4.5,10,15
22,FitFuel Protein Powder,Health & Wellness,$29.99,$39.99,50,500,Winter,25%,4.4,20,20
23,AquaPure Water Filter,Home Appliances,$39.99,$49.99,30,200,Summer,20%,4.6,15,30
24,BeautyGlow Makeup Palette,Beauty,$19.99,$29.99,60,1000,Spring,33%,4.3,25,10
25,TechWave Bluetooth Speaker,Electronics,$59.99,$79.99,25,400,Fall,25%,4.7,30,25
26,SleepEase Sleep Mask,Personal Care,$9.99,$14.99,70,800,Winter,33%,4.8,10,15
